"eBird中文俗名
(紅字表示系統尚無中文俗名)",eBird英文俗名,eBird學名,"現行臺灣鳥類名錄中文名
(與eBird中文俗名相異者以紅字標示)","現行臺灣鳥類名錄學名
(與eBird學名相異者以紅字標示)","2025
全球紅皮書等級",eBird英文俗名簡碼,eBird學名簡碼,"eBird網頁代碼
species code",分類排序編號,eBird外來種狀態,"eBird中文俗名
(香港)","eBird中文俗名
(簡體)",其他中文俗名,PhotoLink,Credit,MLCode
日本叉尾海燕,Matsudaira's Storm-Petrel,Hydrobates matsudairae,日本叉尾海燕,Hydrobates matsudairae,VU,MASP MSPE,HYMA,maspet2,7078,,,日本叉尾海燕,,,,
褐翅叉尾海燕,Tristram's Storm-Petrel,Hydrobates tristrami,褐翅叉尾海燕,Hydrobates tristrami,LC,TSPE TRSP,HYTR,trspet,7080,,,褐翅叉尾海燕,,,,
暴風鸌,Northern Fulmar,Fulmarus glacialis,暴風鸌,Fulmarus glacialis,LC,NOFU,FUGL,norful,7090,,,暴雪鹱,,,,
克島圓尾鸌,Kermadec Petrel,Pterodroma neglecta,克島圓尾鸌,Pterodroma neglecta,LC,KEPE,PTNE,kerpet,7108,,,,克島圓尾穴鳥,,,
索氏圓尾鸌,Providence Petrel,Pterodroma solandri,索氏圓尾鸌,Pterodroma solandri,LC,PRPE,PTSO,solpet1,7116,,,棕头圆尾鹱,索氏圓尾穴鳥,,,
費島圓尾鸌,Juan Fernandez Petrel,Pterodroma externa,費島圓尾鸌,Pterodroma externa,VU,JFPE,PTEX,jufpet,7135,,費島圓尾鸌,,,,,
白腹穴鳥,Bonin Petrel,Pterodroma hypoleuca,白腹穴鳥,Pterodroma hypoleuca,LC,BOPE,PTHY,bonpet,7142,,白額圓尾鸌,白额圆尾鹱,,,,
穴鳥,Bulwer's Petrel,Bulweria bulwerii,穴鳥,Bulweria bulwerii,LC,BUPE,BUBU,bulpet,7178,,褐燕鸌,褐燕鹱,純褐鸌,,,
黑背白腹穴鳥,Tahiti Petrel,Pseudobulweria rostrata,黑背白腹穴鳥,Pseudobulweria rostrata,NT,TAPE,PSRO,tahpet1,7184,,,钩嘴圆尾鹱,鉤嘴圓尾鸌,https://cdn.download.ams.birds.cornell.edu/api/v2/asset/413894731/1200,©Rui-Yang Ho,ML413894731
大水薙鳥,Streaked Shearwater,Calonectris leucomelas,大水薙鳥,Calonectris leucomelas,NT,STSH STRS,CALE,strshe,7199,,白額鸌,白额鹱,,https://cdn.download.ams.birds.cornell.edu/api/v2/asset/413894731/1200,©Rui-Yang Ho,ML413894731
肉足水薙鳥,Flesh-footed Shearwater,Ardenna carneipes,肉足水薙鳥,Ardenna carneipes,NT,FFSH,ARCA,flfshe,7206,,淡足鸌,淡足鹱,,,,
長尾水薙鳥,Wedge-tailed Shearwater,Ardenna pacifica,長尾水薙鳥,Ardenna pacifica,LC,WTSH,ARPA,wetshe,7209,,楔尾鸌,楔尾鹱,曳尾鸌,,,
灰水薙鳥,Sooty Shearwater,Ardenna grisea,灰水薙鳥,Ardenna grisea,NT,SOSH,ARGR,sooshe,7213,,灰鸌,灰鹱,,,,
短尾水薙鳥,Short-tailed Shearwater,Ardenna tenuirostris,短尾水薙鳥,Ardenna tenuirostris,LC,STSH STTS,ARTE,shtshe,7214,,短尾鸌,短尾鹱,,,,
黑細鸌,Christmas Shearwater,Puffinus nativitatis,黑細鸌,Puffinus nativitatis,LC,CISH CHSH,PUNA,chrshe,7216,,,黑鹱,,,,
邦氏細鸌,Bannerman's Shearwater,Puffinus bannermani,邦氏細鸌,Puffinus bannermani,EN,BASH,PUBA,troshe4,7227,,,,,,,
熱帶細鸌,Tropical Shearwater,Puffinus bailloni,熱帶細鸌,Puffinus bailloni,LC,TRSH,PUBA,troshe5,7250,,,,,https://cdn.download.ams.birds.cornell.edu/api/v2/asset/393851121/1200,©Rui-Yang Ho,ML393851121
所羅門鸌,Heinroth's Shearwater,Puffinus heinrothi,所羅門鸌,Puffinus heinrothi,VU,HESH,PUHE,heishe1,7260,,,,,,,
黑鸛,Black Stork,Ciconia nigra,黑鸛,Ciconia nigra,LC,BLST,CINI,blasto1,7283,,黑鸛,黑鹳,,,,
東方白鸛,Oriental Stork,Ciconia boyciana,東方白鸛,Ciconia boyciana,EN,ORST,CIBO,oristo1,7295,,東方白鸛,东方白鹳,,https://cdn.download.ams.birds.cornell.edu/api/v2/asset/393851121/1200,©Rui-Yang Ho,ML393851121
白斑軍艦鳥,Lesser Frigatebird,Fregata ariel,白斑軍艦鳥,Fregata ariel,LC,LEFR,FRAR,lesfri,7318,,白斑軍艦鳥,白斑军舰鸟,,,,
軍艦鳥,Great Frigatebird,Fregata minor,軍艦鳥,Fregata minor,LC,GRFR GREF,FRMI,grefri,7323,,黑腹軍艦鳥,黑腹军舰鸟,小軍艦鳥,,,
聖誕島軍艦鳥,Christmas Island Frigatebird,Fregata andrewsi,聖誕島軍艦鳥,Fregata andrewsi,VU,CIFR CHFR,FRAN,chifri1,7329,,白腹軍艦鳥,白腹军舰鸟,,,,
紅腳鰹鳥,Red-footed Booby,Sula sula,紅腳鰹鳥,Sula sula,LC,RFBO,SUSU,refboo,7338,,紅腳鰹鳥,红脚鲣鸟,,https://cdn.download.ams.birds.cornell.edu/api/v2/asset/641335603/1200,©Chih-Wei(David) Lin,ML641335603
白腹鰹鳥,Brown Booby,Sula leucogaster,白腹鰹鳥,Sula leucogaster,LC,BRBO,SULE,brnboo,7342,,褐鰹鳥,褐鲣鸟,,https://cdn.download.ams.birds.cornell.edu/api/v2/asset/216663431/1200,©Kun-Hui Lin,ML216663431
灰頭鰹鳥,Cocos Booby,Sula brewsteri,灰頭鰹鳥,Sula brewsteri,LC,BRBO COBO,SUBR,cocboo1,7345,,,,,,,
藍臉鰹鳥,Masked Booby,Sula dactylatra,藍臉鰹鳥,Sula dactylatra,LC,MABO,SUDA,masboo,7349,,藍臉鰹鳥,蓝脸鲣鸟,,,,
納茲卡鰹鳥,Nazca Booby,Sula granti,納茲卡鰹鳥,Sula granti,LC,SUGR,NABO,nazboo1,7355,,,,,,,
海鸕鷀,Pelagic Cormorant,Urile pelagicus,海鸕鷀,Urile pelagicus,LC,PECO,URPE,pelcor,7391,,海鸕鷀,海鸬鹚,,https://cdn.download.ams.birds.cornell.edu/api/v2/asset/221166681/1200,©Jhih-Wei (志偉) TSAI (蔡),ML221166681
鸕鷀,Great Cormorant,Phalacrocorax carbo,鸕鷀,Phalacrocorax carbo,LC,BLSH GBCO WBCO GRCO,PHCA,grecor,7397,,普通鸕鷀,普通鸬鹚,,https://cdn.download.ams.birds.cornell.edu/api/v2/asset/160000871/1200,©SHIH-BIN TSAI,ML160000871
丹氏鸕鷀,Japanese Cormorant,Phalacrocorax capillatus,丹氏鸕鷀,Phalacrocorax capillatus,LC,JACO,PHCA,japcor1,7406,,綠背鸕鷀,暗绿背鸬鹚,暗綠背鸕鷀,,,
彩䴉,Glossy Ibis,Plegadis falcinellus,彩䴉,Plegadis falcinellus,LC,GLIB,PLFA,gloibi,7467,,彩䴉,彩鹮,,https://cdn.download.ams.birds.cornell.edu/api/v2/asset/221166681/1200,©Jhih-Wei (志偉) TSAI (蔡),ML221166681
埃及聖䴉,African Sacred Ibis,Threskiornis aethiopicus,埃及聖䴉,Threskiornis aethiopicus,LC,SAIB ASIB,THAE,sacibi2,7491,歸化種,,埃及圣鹮,,https://cdn.download.ams.birds.cornell.edu/api/v2/asset/160000871/1200,©SHIH-BIN TSAI,ML160000871
黑頭白䴉,Black-headed Ibis,Threskiornis melanocephalus,黑頭白䴉,Threskiornis melanocephalus,LC,BHIB,THME,blhibi1,7497,,黑頭白䴉,黑头白鹮,,,,
朱鷺,Crested Ibis,Nipponia nippon,朱鷺,Nipponia nippon,EN,ACIB CRIB,NINI,creibi1,7508,,,朱鹮,,,,
白琵鷺,Eurasian Spoonbill,Platalea leucorodia,白琵鷺,Platalea leucorodia,LC,EUSP ESPO,PLLE,eurspo1,7524,,白琵鷺,白琵鹭,琵鷺,,,
黑面琵鷺,Black-faced Spoonbill,Platalea minor,黑面琵鷺,Platalea minor,VU,BFSP,PLMI,blfspo1,7530,,黑臉琵鷺,黑脸琵鹭,,https://cdn.download.ams.birds.cornell.edu/api/v2/asset/159073301/1200,©SHIH-BIN TSAI,ML159073301
大麻鷺,Eurasian Bittern,Botaurus stellaris,大麻鷺,Botaurus stellaris,LC,EUBI,BOST,grebit1,7556,,大麻鳽,大麻鳽,,https://cdn.download.ams.birds.cornell.edu/api/v2/asset/300079231/1200,©Lee-Lien WANG,ML300079231
黃頸黑鷺,Black Bittern,Botaurus flavicollis,黃頸黑鷺,Botaurus flavicollis,LC,BLBI,BOFL,blabit1,7574,,黑鳽,黑鳽,,https://cdn.download.ams.birds.cornell.edu/api/v2/asset/360725451/1200,©Ting-Wei (廷維) HUNG (洪),ML360725451
栗小鷺,Cinnamon Bittern,Botaurus cinnamomeus,栗小鷺,Botaurus cinnamomeus,LC,CIBI,BOCI,cinbit1,7578,,栗葦鳽,栗苇鳽,,https://cdn.download.ams.birds.cornell.edu/api/v2/asset/556483371/1200,©Manu Álvarez,ML556483371
秋小鷺,Schrenck's Bittern,Botaurus eurhythmus,秋小鷺,Botaurus eurhythmus,LC,VSBI SCBI,BOEU,schbit1,7579,,紫背葦鳽,紫背苇鳽,,,,
黃小鷺,Yellow Bittern,Botaurus sinensis,黃小鷺,Botaurus sinensis,LC,YEBI,BOSI,yelbit,7586,,黃葦鳽,黄苇鳽,,https://cdn.download.ams.birds.cornell.edu/api/v2/asset/608507926/1200,©Jo-Szu [Ross] (若詩) Tsai (蔡),ML608507926
夜鷺,Black-crowned Night Heron,Nycticorax nycticorax,夜鷺,Nycticorax nycticorax,LC,BCNH,NYNY,bcnher,7600,,夜鷺,夜鹭,,https://cdn.download.ams.birds.cornell.edu/api/v2/asset/556483371/1200,©Manu Álvarez,ML556483371
棕夜鷺,Nankeen Night Heron,Nycticorax caledonicus,棕夜鷺,Nycticorax caledonicus,LC,NNHE,NYCA,runher1,7610,,,棕夜鹭,,https://cdn.download.ams.birds.cornell.edu/api/v2/asset/26171451/1200,©Ko Cheng,ML26171451
黑冠麻鷺,Malayan Night Heron,Gorsachius melanolophus,黑冠麻鷺,Gorsachius melanolophus,LC,MNHE,GOME,manher1,7620,,黑冠鳽,黑冠鳽,,https://cdn.download.ams.birds.cornell.edu/api/v2/asset/156717561/1200,©Rui-Yang Ho,ML156717561
麻鷺,Japanese Night Heron,Gorsachius goisagi,麻鷺,Gorsachius goisagi,VU,JNHE,GOGO,janher1,7623,,栗鳽,栗鳽,,https://cdn.download.ams.birds.cornell.edu/api/v2/asset/408346211/1200,©Kun-Hui Lin,ML408346211
岩鷺,Pacific Reef-Heron,Egretta sacra,岩鷺,Egretta sacra,LC,PARE PREG PRHE PARH REHE EREG,EGSA,pacreh1,7641,,岩鷺,岩鹭,黑鷺,https://cdn.download.ams.birds.cornell.edu/api/v2/asset/26171451/1200,©Ko Cheng,ML26171451
唐白鷺,Chinese Egret,Egretta eulophotes,唐白鷺,Egretta eulophotes,VU,CHEG,EGEU,chiegr,7644,,黃嘴白鷺,黄嘴白鹭,,https://cdn.download.ams.birds.cornell.edu/api/v2/asset/156717561/1200,©Rui-Yang Ho,ML156717561
小白鷺,Little Egret,Egretta garzetta,小白鷺,Egretta garzetta,LC,LEWR LIEG,EGGA,litegr,7650,,小白鷺,白鹭,白鷺,https://cdn.download.ams.birds.cornell.edu/api/v2/asset/448811711/1200,©Yu-Wei (昱緯) LI (李),ML448811711
白頸黑鷺,Pied Heron,Egretta picata,白頸黑鷺,Egretta picata,LC,PIHE,EGPI,pieher2,7660,,,斑鹭,,,,
白臉鷺,White-faced Heron,Egretta novaehollandiae,白臉鷺,Egretta novaehollandiae,LC,WFHE,EGNO,whfher1,7661,,,白脸鹭,,https://cdn.download.ams.birds.cornell.edu/api/v2/asset/95787061/1200,©Allen Lyu,ML95787061
綠簑鷺,Little Heron,Butorides atricapilla,綠簑鷺,Butorides atricapilla,LC,STHE LIHE GBHE STRH,BUAT,strher1,7673,,綠鷺,绿鹭,,https://cdn.download.ams.birds.cornell.edu/api/v2/asset/448811711/1200,©Yu-Wei (昱緯) LI (李),ML448811711
印度池鷺,Indian Pond-Heron,Ardeola grayii,印度池鷺,Ardeola grayii,LC,IPHE INPH,ARGR,inpher1,7716,,,印度池鹭,,https://cdn.download.ams.birds.cornell.edu/api/v2/asset/21396491/1200,©Ting-Wei (廷維) HUNG (洪),ML21396491
池鷺,Chinese Pond-Heron,Ardeola bacchus,池鷺,Ardeola bacchus,LC,CPHE CHPH,ARBA,chpher1,7717,,池鷺,池鹭,沼鷺,https://cdn.download.ams.birds.cornell.edu/api/v2/asset/447803481/1200,©Jhih-Wei (志偉) TSAI (蔡),ML447803481
爪哇池鷺,Javan Pond-Heron,Ardeola speciosa,爪哇池鷺,Ardeola speciosa,LC,JAPH JPHE,ARSP,japher1,7719,,爪哇池鷺,爪哇池鹭,,https://cdn.download.ams.birds.cornell.edu/api/v2/asset/618106761/1200,©Meng-Chieh (孟婕) FENG (馮),ML618106761
黃頭鷺,Eastern Cattle-Egret,Ardea coromanda,黃頭鷺,Ardea coromanda,LC,ECEG CAEG EACE,ARCO,categr2,7726,,牛背鷺,牛背鹭,,https://cdn.download.ams.birds.cornell.edu/api/v2/asset/21396491/1200,©Ting-Wei (廷維) HUNG (洪),ML21396491
大白鷺,Great Egret,Ardea alba,大白鷺,Ardea alba,LC,WHHE GWEG GREG,ARAL,greegr,7729,,大白鷺,大白鹭,,https://cdn.download.ams.birds.cornell.edu/api/v2/asset/612781658/1200,©力平 王,ML612781658
中白鷺,Medium Egret,Ardea intermedia,中白鷺,Ardea intermedia,LC,INEG MEEG,ARIN,integr1,7737,,中白鷺,中白鹭,,https://cdn.download.ams.birds.cornell.edu/api/v2/asset/618106761/1200,©Meng-Chieh (孟婕) FENG (馮),ML618106761
蒼鷺,Gray Heron,Ardea cinerea,蒼鷺,Ardea cinerea,LC,GRHE GRAH,ARCI,graher1,7745,,蒼鷺,苍鹭,,,,
紫鷺,Purple Heron,Ardea purpurea,紫鷺,Ardea purpurea,LC,PUHE,ARPU,purher1,7766,,草鷺,草鹭,,https://cdn.download.ams.birds.cornell.edu/api/v2/asset/611576510/1200,©Jhih-Wei (志偉) TSAI (蔡),ML611576510
卷羽鵜鶘,Dalmatian Pelican,Pelecanus crispus,卷羽鵜鶘,Pelecanus crispus,NT,DAPE,PECR,dalpel1,7804,,卷羽鵜鶘,卷羽鹈鹕,,,,
魚鷹,Osprey,Pandion haliaetus,魚鷹,Pandion haliaetus,LC,OSPR,PAHA,osprey,7832,,鶚,鹗,,https://cdn.download.ams.birds.cornell.edu/api/v2/asset/282437541/1200,©Jhih-Wei (志偉) TSAI (蔡),ML282437541
黑翅鳶,Black-winged Kite,Elanus caeruleus,黑翅鳶,Elanus caeruleus,LC,BWKI ABSK,ELCA,bkskit1,7846,,黑翅鳶,黑翅鸢,,https://cdn.download.ams.birds.cornell.edu/api/v2/asset/611576510/1200,©Jhih-Wei (志偉) TSAI (蔡),ML611576510
黑冠鵑隼,Black Baza,Aviceda leuphotes,黑冠鵑隼,Aviceda leuphotes,LC,BLBA,AVLE,blabaz1,7900,,黑冠鵑隼,黑冠鹃隼,,https://cdn.download.ams.birds.cornell.edu/api/v2/asset/503646151/1200,©Jo-Szu [Ross] (若詩) Tsai (蔡),ML503646151
東方蜂鷹,Oriental Honey-buzzard,Pernis ptilorhynchus,東方蜂鷹,Pernis ptilorhynchus,LC,ORHB OHBU CRHB CHBU,PEPT,orihob2,7906,,鳳頭蜂鷹,凤头蜂鹰,蜂鷹 雕頭鷹,https://cdn.download.ams.birds.cornell.edu/api/v2/asset/612437715/1200,©Chien-wei Tseng,ML612437715
禿鷲,Cinereous Vulture,Aegypius monachus,禿鷲,Aegypius monachus,NT,BLVU CIVU,AEMO,cinvul1,7930,,禿鷲,秃鹫,,,,
大冠鷲,Crested Serpent-Eagle,Spilornis cheela,大冠鷲,Spilornis cheela,LC,CRSE CSEA,SPCH,crseag1,7959,,蛇鵰,蛇雕,蛇鷹,https://cdn.download.ams.birds.cornell.edu/api/v2/asset/395004421/1200,©Chien-wei Tseng,ML395004421
熊鷹,Mountain Hawk-Eagle,Nisaetus nipalensis,熊鷹,Nisaetus nipalensis,NT,MHEA MOHE,NINI,mouhae1,8003,,鷹鵰,鹰雕,赫氏角鷹,https://cdn.download.ams.birds.cornell.edu/api/v2/asset/612437715/1200,©Chien-wei Tseng,ML612437715
林鵰,Black Eagle,Ictinaetus malaiensis,林鵰,Ictinaetus malaiensis,LC,BLEA,ICMA,blaeag1,8035,,林鵰,林雕,,https://cdn.download.ams.birds.cornell.edu/api/v2/asset/395004421/1200,©Chien-wei Tseng,ML395004421
花鵰,Greater Spotted Eagle,Clanga clanga,花鵰,Clanga clanga,VU,GSEA,CLCL,grseag1,8040,,烏鵰,乌雕,,,,
靴隼鵰,Booted Eagle,Hieraaetus pennatus,靴隼鵰,Hieraaetus pennatus,LC,BOEA,HIPE,booeag1,8047,,靴隼鵰,靴隼雕,靴鵰,,,
白肩鵰,Imperial Eagle,Aquila heliaca,白肩鵰,Aquila heliaca,VU,EIEA IMEA,AQHE,impeag1,8052,,白肩鵰,白肩雕,白肩鵰鷲,https://cdn.download.ams.birds.cornell.edu/api/v2/asset/49194901/1200,©Lee-Lien WANG,ML49194901
金鵰,Golden Eagle,Aquila chrysaetos,金鵰,Aquila chrysaetos,LC,GOEA,AQCH,goleag,8064,,金鵰,金雕,,https://cdn.download.ams.birds.cornell.edu/api/v2/asset/515463951/1200,©Zhao-Hui(釗輝) LIN(林),ML515463951
白腹鵰,Bonelli's Eagle,Aquila fasciata,白腹鵰,Aquila fasciata,LC,BOEA,AQFA,boneag2,8072,,白腹隼鵰,白腹隼雕,腹山鵰,,,
鳳頭蒼鷹,Crested Goshawk,Lophospiza trivirgata,鳳頭蒼鷹,Lophospiza trivirgata,LC,CRGO,LOTR,cregos1,8085,,鳳頭鷹,凤头鹰,,https://cdn.download.ams.birds.cornell.edu/api/v2/asset/49194901/1200,©Lee-Lien WANG,ML49194901
松雀鷹,Besra,Tachyspiza virgata,松雀鷹,Tachyspiza virgata,LC,BESR,TAVI,besra1,8135,,松雀鷹,松雀鹰,雀鷹,https://cdn.download.ams.birds.cornell.edu/api/v2/asset/515463951/1200,©Zhao-Hui(釗輝) LIN(林),ML515463951
日本松雀鷹,Japanese Sparrowhawk,Tachyspiza gularis,日本松雀鷹,Tachyspiza gularis,LC,JASP,TAGU,japspa1,8159,,日本松雀鷹,日本松雀鹰,,,,
褐耳鷹,Shikra,Tachyspiza badia,褐耳鷹,Tachyspiza badia,LC,SHIK,TABA,shikra1,8164,,褐耳鷹,褐耳鹰,褐耳雀鷹,,,
赤腹鷹,Chinese Sparrowhawk,Tachyspiza soloensis,赤腹鷹,Tachyspiza soloensis,LC,CHSP CHIS,TASO,grfhaw1,8177,,赤腹鷹,赤腹鹰,,,,
北雀鷹,Eurasian Sparrowhawk,Accipiter nisus,北雀鷹,Accipiter nisus,LC,EUSP ESPA,ACNI,eurspa1,8245,,雀鷹,雀鹰,摩鷹 鷂子,,,
蒼鷹,Eurasian Goshawk,Astur gentilis,蒼鷹,Astur gentilis,LC,EUGO NOGO EGOS,ASGE,norgos1,8283,,蒼鷹,苍鹰,,,,
西方澤鵟,Western Marsh Harrier,Circus aeruginosus,西方澤鵟,Circus aeruginosus,LC,WEMH WMHA,CIAE,wemhar1,8306,,白頭鷂,白头鹞,,,,
東方澤鵟,Eastern Marsh Harrier,Circus spilonotus,東方澤鵟,Circus spilonotus,LC,EMHA EAMH,CISP,easmah1,8311,,白腹鷂,白腹鹞,東方澤鷂 澤鵟,https://cdn.download.ams.birds.cornell.edu/api/v2/asset/615743114/1200,©Cheng-Ru Tsai,ML615743114
灰澤鵟,Hen Harrier,Circus cyaneus,灰澤鵟,Circus cyaneus,LC,HEHA,CICY,norhar1,8323,,白尾鷂,白尾鹞,灰鷂,,,
花澤鵟,Pied Harrier,Circus melanoleucos,花澤鵟,Circus melanoleucos,LC,PIHA,CIME,piehar1,8328,,鵲鷂,鹊鹞,,,,
黑鳶,Black Kite,Milvus migrans,黑鳶,Milvus migrans,LC,BBKI BLKI BLAK,MIMI,blakit1,8345,,黑鳶,黑鸢,老鷹,https://cdn.download.ams.birds.cornell.edu/api/v2/asset/615743114/1200,©Cheng-Ru Tsai,ML615743114
栗鳶,Brahminy Kite,Haliastur indus,栗鳶,Haliastur indus,LC,BRKI,HAIN,brakit1,8357,,栗鳶,栗鸢,,,,
白尾海鵰,White-tailed Eagle,Haliaeetus albicilla,白尾海鵰,Haliaeetus albicilla,LC,WTSE WTEA,HAAL,whteag,8364,,,白尾海雕,,,,
白腹海鵰,White-bellied Sea-Eagle,Icthyophaga leucogaster,白腹海鵰,Icthyophaga leucogaster,LC,WBSE,ICLE,wbseag1,8376,,白腹海鵰,白腹海雕,,,,
灰面鵟鷹,Gray-faced Buzzard,Butastur indicus,灰面鵟鷹,Butastur indicus,LC,GFBU,BUIN,gyfbuz1,8387,,灰臉鵟鷹,灰脸鵟鹰,,,,
毛足鵟,Rough-legged Hawk,Buteo lagopus,毛足鵟,Buteo lagopus,LC,RLBU RLHA,BULA,rolhaw,8528,,毛腳鵟,毛脚鵟,,,,
歐亞鵟,Common Buzzard,Buteo buteo,歐亞鵟,Buteo buteo,LC,COBU EUBU,BUBU,combuz1,8543,,,欧亚鵟,,,,
大鵟,Upland Buzzard,Buteo hemilasius,大鵟,Buteo hemilasius,LC,UPBU,BUHE,uplbuz1,8561,,大鵟,大鵟,,https://cdn.download.ams.birds.cornell.edu/api/v2/asset/612335562/1200,©u7 Liao,ML612335562
東方鵟,Eastern Buzzard,Buteo japonicus,東方鵟,Buteo japonicus,LC,JABU EABU,BUJA,combuz6,8566,,普通鵟,普通鵟,鵟,,,
草鴞,Australasian Grass-Owl,Tyto longimembris,草鴞,Tyto longimembris,LC,AGOW EGOW AUGO EAGO,TYLO,ausgro1,8603,,草鴞,草鸮,,https://cdn.download.ams.birds.cornell.edu/api/v2/asset/226148501/1200,©Kun-Hui Lin,ML226148501
黃嘴角鴞,Mountain Scops-Owl,Otus spilocephalus,黃嘴角鴞,Otus spilocephalus,LC,MSOW MOSO,OTSP,mosowl2,8671,,黃嘴角鴞,黄嘴角鸮,,https://cdn.download.ams.birds.cornell.edu/api/v2/asset/258012321/1200,©Jhih-Wei (志偉) TSAI (蔡),ML258012321
領角鴞,Collared Scops-Owl,Otus lettia,領角鴞,Otus lettia,LC,COSO CSOW,OTLE,cosowl1,8690,,領角鴞,领角鸮,,https://cdn.download.ams.birds.cornell.edu/api/v2/asset/339711421/1200,©Shih-Hao Wang,ML339711421
蘭嶼角鴞,Ryukyu Scops-Owl,Otus elegans,蘭嶼角鴞,Otus elegans,NT,RYSO RSOW,OTEL,ryusco1,8732,,琉球角鴞,琉球角鸮 (兰屿角鸮),角鴞,https://cdn.download.ams.birds.cornell.edu/api/v2/asset/619013173/1200,©Rui-Yang Ho,ML619013173
東方角鴞,Oriental Scops-Owl,Otus sunia,東方角鴞,Otus sunia,LC,OSOW ORSO,OTSU,orsowl,8773,,紅角鴞,红角鸮,,https://cdn.download.ams.birds.cornell.edu/api/v2/asset/221700501/1200,©Cheng-Ru Tsai,ML221700501
鵰鴞,Eurasian Eagle-Owl,Bubo bubo,鵰鴞,Bubo bubo,LC,EUEO,BUBU,eueowl1,8944,,鵰鴞,雕鸮,,,,
黃魚鴞,Tawny Fish-Owl,Ketupa flavipes,黃魚鴞,Ketupa flavipes,LC,TFOW TAFO,KEFL,tafowl1,8983,,黃腿漁鴞,黄腿渔鸮,黃腳魚鴞,https://cdn.download.ams.birds.cornell.edu/api/v2/asset/47137041/1200,©Chien-wei Tseng,ML47137041
鵂鶹,Collared Owlet,Taenioptynx brodiei,鵂鶹,Taenioptynx brodiei,LC,COOW,TABR,colowl1,9089,,領鵂鶹,领鸺鹠,,https://cdn.download.ams.birds.cornell.edu/api/v2/asset/614223152/1200,©Rui-Yang Ho,ML614223152
縱紋腹小鴞,Little Owl,Athene noctua,縱紋腹小鴞,Athene noctua,LC,LIOW,ATNO,litowl1,9107,,,纵纹腹小鸮,,https://cdn.download.ams.birds.cornell.edu/api/v2/asset/47137041/1200,©Chien-wei Tseng,ML47137041
褐林鴞,Brown Wood-Owl,Strix leptogrammica,褐林鴞,Strix leptogrammica,LC,BWOW BRWO,STLE,brwowl1,9182,,褐林鴞,褐林鸮,,https://cdn.download.ams.birds.cornell.edu/api/v2/asset/97596321/1200,©Yu-Wei (昱緯) LI (李),ML97596321
東方灰林鴞,Himalayan Owl,Strix nivicolum,東方灰林鴞,Strix nivicolum,LC,HIOW,STNI,himowl1,9209,,灰林鴞,灰林鸮,,https://cdn.download.ams.birds.cornell.edu/api/v2/asset/587148081/1200,©Scott (瑞興) LIN(林),ML587148081
長耳鴞,Long-eared Owl,Asio otus,長耳鴞,Asio otus,LC,LEOW,ASOT,loeowl,9253,,長耳鴞,长耳鸮,,https://cdn.download.ams.birds.cornell.edu/api/v2/asset/121926221/1200,©u7 Liao,ML121926221
短耳鴞,Short-eared Owl,Asio flammeus,短耳鴞,Asio flammeus,LC,SEOW,ASFL,sheowl,9276,,短耳鴞,短耳鸮,,https://cdn.download.ams.birds.cornell.edu/api/v2/asset/175716371/1200,©Po-Wei Chi,ML175716371
褐鷹鴞,Northern Boobook,Ninox japonica,褐鷹鴞,Ninox japonica,LC,NOBO NOBB,NIJA,norboo1,9362,,北鷹鴞,北鹰鸮,鷹鴞,https://cdn.download.ams.birds.cornell.edu/api/v2/asset/20322231/1200,©Ko Cheng,ML20322231
戴勝,Common Hoopoe,Upupa epops,戴勝,Upupa epops,LC,HOOP EUHO COHO,UPEP,hoopoe,9604,,戴勝,戴胜,,https://cdn.download.ams.birds.cornell.edu/api/v2/asset/151967991/1200,©Ting-Wei (廷維) HUNG (洪),ML151967991
綠喉蜂虎,Asian Green Bee-eater,Merops orientalis,綠喉蜂虎,Merops orientalis,LC,AGBE,MEOR,grnbee3,9811,,,,,,,
藍喉蜂虎,Blue-throated Bee-eater,Merops viridis,藍喉蜂虎,Merops viridis,LC,BTBE,MEVI,btbeat2,9818,,藍喉蜂虎,蓝喉蜂虎,,https://cdn.download.ams.birds.cornell.edu/api/v2/asset/469122681/1200,©Meng-Chieh (孟婕) FENG (馮),ML469122681
藍頰蜂虎,Blue-cheeked Bee-eater,Merops persicus,藍頰蜂虎,Merops persicus,LC,BCBE,MEPE,bcbeat1,9820,,,蓝颊蜂虎,,,,
栗喉蜂虎,Blue-tailed Bee-eater,Merops philippinus,栗喉蜂虎,Merops philippinus,LC,BTBE,MEPH,btbeat1,9826,,栗喉蜂虎,栗喉蜂虎,,https://cdn.download.ams.birds.cornell.edu/api/v2/asset/76001581/1200,©Ting-Wei (廷維) HUNG (洪),ML76001581
彩虹蜂虎,Rainbow Bee-eater,Merops ornatus,彩虹蜂虎,Merops ornatus,LC,RABE RBEA,MEOR,rabeat1,9828,,,彩虹蜂虎,,,,
翠鳥,Common Kingfisher,Alcedo atthis,翠鳥,Alcedo atthis,LC,COKI,ALAT,comkin1,9912,,普通翠鳥,普通翠鸟,魚狗 翡翠,https://cdn.download.ams.birds.cornell.edu/api/v2/asset/76001581/1200,©Ting-Wei (廷維) HUNG (洪),ML76001581
